[2022-06-25T14:04:29.861] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T14:04:29.966] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:04:37.503] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:16:16.034] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T14:16:16.178] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:16:23.760] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:16:57.941] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:19:33.397] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:20:06.694] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:20:44.083] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:22:13.515] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:23:19.483] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:25:21.365] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:28:58.481] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T14:28:58.603] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:29:06.521] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:34:19.755] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:35:58.377] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:36:16.879] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:38:15.749] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:38:57.540] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:39:17.119] [WARN] warn - { ruta: '/', metodo: 'POST' }
[2022-06-25T14:39:21.438] [WARN] warn - { ruta: '/', metodo: 'POST' }
[2022-06-25T14:39:48.149] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T14:39:48.275] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:39:57.338] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:41:20.378] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T14:43:32.706] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:49:30.477] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T19:50:18.460] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T19:50:18.550] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:50:25.752] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:51:55.041] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:53:53.117] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:55:15.118] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T19:55:50.629] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:00:41.915] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:00:41.998] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:00:49.517] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:13:19.750] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:13:19.807] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:13:33.962] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:16:02.099] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:18:19.141] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:20:28.723] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:20:46.391] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:20:47.399] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:21:35.995] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:22:09.920] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:23:54.511] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:23:54.591] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:24:04.105] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:27:10.061] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:29:07.491] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:29:44.339] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:33:03.350] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:33:03.653] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:33:10.134] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:41:46.139] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:42:05.980] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:42:50.065] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:43:17.913] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:43:17.982] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:43:22.950] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:44:01.332] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:45:08.980] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:45:40.720] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:50:46.880] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:51:40.169] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:51:55.942] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:52:49.496] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:53:20.289] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:53:33.824] [WARN] warn - { ruta: '/', metodo: 'POST' }
[2022-06-25T20:53:41.862] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T20:53:41.924] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:53:48.101] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:54:37.547] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:55:08.393] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:55:25.315] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:55:50.432] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:56:00.624] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:56:11.868] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:56:29.713] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:56:49.620] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:57:00.576] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T20:58:12.541] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:11:13.133] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:11:13.219] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:11:23.233] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:11:46.868] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:18:16.665] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:19:55.790] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:23:41.197] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:23:41.283] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:23:49.756] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:24:47.515] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:25:08.528] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:27:29.692] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:29:26.159] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:29:43.573] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:34:05.203] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:34:05.288] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:36:05.497] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:36:05.575] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:36:06.624] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:36:06.692] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:37:09.171] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:37:09.250] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:37:17.739] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:37:42.094] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:38:13.331] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:40:29.554] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:40:42.797] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:41:36.315] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:43:24.917] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:43:56.554] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:44:21.634] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T21:49:28.130] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T21:49:28.201] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:11:30.953] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T22:11:31.029] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:11:39.547] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:14:25.948] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:15:34.444] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:16:16.903] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:16:39.390] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:18:49.768] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:19:19.106] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:20:17.269] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:22:47.256] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T22:22:47.378] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:22:56.003] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:25:27.071] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:28:36.755] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:28:49.506] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:32:02.843] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:32:26.193] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:32:39.846] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:42:54.692] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T22:42:54.783] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:43:02.341] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:43:19.892] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:44:54.904] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:45:35.735] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:45:37.100] [WARN] warn - { ruta: '/undefined', metodo: 'GET' }
[2022-06-25T22:46:34.878] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:48:45.795] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:50:21.719] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:50:39.380] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:58:24.723] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T22:58:24.811] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:58:34.167] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:58:58.951] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T22:59:40.823] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:01:53.942] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:02:26.314] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:03:24.031] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:04:35.276] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:05:04.389] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:08:23.196] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:09:31.351] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T23:09:31.455] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:10:06.326] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:14:15.619] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:14:44.472] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:24:14.507] [WARN] warn - { ruta: '/logout', metodo: 'POST' }
[2022-06-25T23:24:14.606] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:24:16.076] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:24:35.932] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:24:52.566] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:26:38.846] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:26:39.715] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:26:43.209] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:26:59.250] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:29:20.815] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:30:13.857] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:30:42.763] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:31:02.020] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:36:02.769] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:36:57.595] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T23:36:57.703] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:37:13.163] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:37:37.364] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:39:19.244] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:39:38.615] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:40:00.765] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:40:14.904] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:40:54.833] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:41:25.111] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:41:30.307] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:41:30.962] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:41:35.512] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:42:00.493] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:42:00.853] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:42:05.248] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:42:29.257] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:42:30.496] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:42:36.985] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:43:33.105] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:43:40.375] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:43:41.029] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:43:46.874] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:44:36.105] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:45:14.320] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:46:38.713] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:46:39.085] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:46:43.890] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:49:22.597] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:50:09.453] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
